SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree397	-40.715	1e-06	0.166756	0.150363	0	5.672	3.961	14.289
tree398	-45.7825	1e-06	0.234196	0.192852	0	7.498	4.201	12.703
tree399	-45.7825	1e-06	0.234196	0.192852	0	7.572	4.221	12.649
tree400	-45.3116	1e-06	0.220944	0.197655	0	7.115	4.596	13.481
tree401	-44.2669	1e-06	0.189517	0.180797	0	6.296	4.481	14.185
tree402	-39.5647	1e-06	0.146905	0.145143	0	5.218	4.096	14.878
tree403	-44.9154	2.21776e-05	0.235706	0.189074	0	7.52	3.9	12.38
tree404	-45.2213	1e-06	0.267738	0.190017	0	7.436	3.975	12.539
tree405	-45.3375	0.000180829	0.190931	0.189988	0.001	5.784	4.912	15.127
tree406	-44.3215	3.45587e-06	0.220399	0.151554	0	6.444	3.563	13.119
tree407	-46.2873	1e-06	0.217297	0.204456	0	6.458	4.763	14.305
tree408	-45.0155	1e-06	0.219646	0.194467	0	7.119	4.512	13.393
tree409	-44.164	1e-06	0.215633	0.174332	0	6.704	3.929	13.225
tree410	-46.8309	0.00111195	0.216702	0.239518	0.007	6.608	5.528	14.913
tree411	-45.0352	1e-06	0.204001	0.198948	0	6.942	4.863	13.921
tree412	-45.2649	0.00592633	0.249095	0.196708	0.02	7.609	4.19	12.561
tree413	-44.2669	1e-06	0.189517	0.180797	0	6.512	4.433	13.921
tree414	-45.0155	1e-06	0.219646	0.194467	0	7.048	4.437	13.389
tree415	-44.2669	1e-06	0.189517	0.180797	0	6.427	4.497	14.07
tree416	-45.3116	1e-06	0.220944	0.197655	0	7.221	4.593	13.372
tree417	-44.5407	1e-06	0.23974	0.155877	0	7.408	3.177	11.769
tree418	-44.0729	2.62126e-05	0.250602	0.125561	0	7.013	2.626	11.613
tree419	-42.3112	1e-06	0.149075	0.145093	0	4.495	3.888	15.393
tree420	-43.5585	8.11329e-06	0.161581	0.163121	0	4.946	4.272	15.326
tree421	-44.2669	1e-06	0.189517	0.180797	0	6.454	4.491	14.037
tree422	-44.2341	0.000198051	0.210238	0.21107	0.001	8.258	4.793	12.534
tree423	-44.2669	1e-06	0.189517	0.180797	0	6.39	4.403	14.013
tree424	-42.2259	0.00328206	0.165453	0.15368	0.007	4.7	3.862	15.155
tree425	-43.1727	1e-06	0.215592	0.158408	0	7.707	3.051	11.344
tree426	-44.9968	0.000294878	0.25496	0.135801	0	7.603	2.68	11.077
tree427	-46.1319	1e-06	0.217389	0.206155	0	6.578	4.793	14.215
tree428	-45.9121	5.17643e-05	0.22128	0.19807	0	7.347	4.57	13.223
tree429	-44.5048	1.66505e-05	0.269569	0.137393	0	7.457	2.778	11.321
tree430	-43.1682	0.000108321	0.222465	0.120336	0	6.257	2.722	12.465
tree431	-42.3112	1e-06	0.149075	0.145093	0	4.537	3.876	15.339
tree432	-43.5952	0.000153764	0.248836	0.154794	0	6.842	3.165	12.323
tree433	-45.3116	1e-06	0.220944	0.197655	0	7.128	4.553	13.425
tree434	-43.5952	0.000153764	0.248836	0.154794	0.001	6.844	3.214	12.369
tree435	-44.2669	1e-06	0.189517	0.180797	0	6.34	4.45	14.11
tree436	-44.2932	1e-06	0.185439	0.195274	0	6.341	5.218	14.877
tree437	-46.0676	1.79228e-06	0.245701	0.22931	0	8.061	4.335	12.274
tree438	-46.369	1e-06	0.213993	0.208064	0	6.467	4.915	14.448
tree439	-43.4426	0.00119643	0.206112	0.184884	0.004	6.847	4.24	13.389
tree440	-45.2315	5.06602e-06	0.200365	0.211947	0	6.911	5.328	14.417
tree441	-45.7825	1e-06	0.234196	0.192852	0	7.539	4.142	12.603
tree442	-44.2669	1e-06	0.189517	0.180797	0	6.416	4.493	14.077
tree443	-44.3215	3.45587e-06	0.220399	0.151554	0	6.374	3.482	13.108
tree444	-42.6567	1e-06	0.231125	0.125554	0	6.64	2.471	11.831
tree445	-44.9086	1e-06	0.239814	0.193222	0	7.526	3.922	12.396
tree446	-43.5269	1e-06	0.211927	0.160288	0	7.256	3.478	12.222
tree447	-43.5585	8.11329e-06	0.161581	0.163121	0	4.95	4.324	15.374
tree448	-45.8644	1e-06	0.217457	0.205889	0	7.354	4.701	13.347
tree449	-43.5585	8.11329e-06	0.161581	0.163121	0	4.911	4.221	15.31
tree450	-44.2669	1e-06	0.189517	0.180797	0	6.402	4.434	14.032
tree451	-44.164	1e-06	0.215633	0.174332	0	6.79	3.914	13.124
tree452	-43.781	1e-06	0.245603	0.130918	0	6.92	2.783	11.863
tree453	-45.9447	1e-06	0.248485	0.205668	0	7.454	4.391	12.937
tree454	-44.2669	1e-06	0.189517	0.180797	0	6.332	4.467	14.135
tree455	-45.3116	1e-06	0.220944	0.197655	0	7.129	4.647	13.518
tree456	-45.3375	0.000180829	0.190931	0.189988	0.001	5.763	4.997	15.233
tree457	-44.2669	1e-06	0.189517	0.180797	0	6.355	4.446	14.091
tree458	-42.3112	1e-06	0.149075	0.145093	0	4.461	3.908	15.447
tree459	-44.2669	1e-06	0.189517	0.180797	0	6.477	4.425	13.948
tree460	-43.5269	1e-06	0.211927	0.160288	0	7.167	3.407	12.24
tree461	-44.2669	1e-06	0.189517	0.180797	0	6.416	4.421	14.005
tree462	-42.3112	1e-06	0.149075	0.145093	0	4.547	3.927	15.38
tree463	-45.7825	1e-06	0.234196	0.192852	0	7.477	4.215	12.738
tree464	-44.2669	1e-06	0.189517	0.180797	0	6.5	4.55	14.05
tree465	-44.9066	0.000958465	0.248577	0.181818	0.002	7.539	3.363	11.822
tree466	-42.3112	1e-06	0.149075	0.145093	0	4.564	3.922	15.358
tree467	-46.1319	1e-06	0.217389	0.206155	0	6.581	4.714	14.133
tree468	-42.4145	9.1816e-05	0.221441	0.119669	0	6.543	2.391	11.848
tree469	-46.1319	1e-06	0.217389	0.206155	0	6.624	4.704	14.08
tree470	-42.2259	0.00328206	0.165453	0.15368	0.005	4.759	3.87	15.106
tree471	-44.6712	0.00158988	0.25268	0.193888	0.004	7.417	3.565	12.144
tree472	-43.1682	0.000108321	0.222465	0.120336	0	6.239	2.75	12.511
tree473	-41.6566	1e-06	0.209646	0.129284	0	7.707	1.977	10.27
tree474	-46.3254	1e-06	0.233479	0.222221	0	7.454	5.105	13.651
tree475	-43.5952	0.000153764	0.248836	0.154794	0	6.825	3.229	12.404
