SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree958	-11354.9	0.01	0	0	0.282	443.19	440.001	12.529
tree959	-11354.9	0.01	0	0	0.267	435.926	432.467	12.274
tree960	-11354.9	0.01	0	0	0.271	425.176	421.2	11.753
tree961	-11355	0.01	0	0	0.309	428.91	425.13	11.911
tree962	-11354.9	0.01	0	0	0.301	434.755	431.555	12.499
tree963	-11354.9	0.01	0	0	0.264	438.084	434.782	12.434
tree964	-11354.9	0.01	0	0	0.304	445.264	442.308	12.74
tree965	-11354.9	0.01	0	0	0.298	437.963	434.661	12.4
tree966	-11355	0.01	0	0	0.276	419.448	415.615	11.891
tree967	-11354.9	0.01	0	0	0.263	441.624	438.39	12.503
tree968	-11354.9	0.01	0	0	0.285	436.469	432.999	12.245
tree969	-11354.9	0.01	0	0	0.312	456.528	453.805	12.965
tree970	-11354.9	0.01	0	0	0.313	440.775	437.555	12.467
tree971	-11354.9	0.01	0	0	0.288	438.254	434.84	12.298
tree972	-11354.9	0.01	0	0	0.279	443.119	439.918	12.52
tree973	-11355	0.01	0	0	0.304	427.958	424.143	11.881
tree974	-11354.9	0.01	0	0	0.277	438.061	434.642	12.304
tree975	-11354.9	0.01	0	0	0.283	431.599	427.87	11.988
tree976	-11354.9	0.01	0	0	0.279	445.482	442.386	12.625
tree977	-11354.9	0.01	0	0	0.272	428.191	424.562	12.099
tree978	-11354.9	0.01	0	0	0.274	451.202	448.241	12.765
tree979	-11354.9	0.01	0	0	0.29	426.277	422.423	11.856
tree980	-11354.9	0.01	0	0	0.287	433.161	429.522	12.074
tree981	-11354.9	0.01	0	0	0.296	440.474	437.118	12.348
tree982	-11354.9	0.01	0	0	0.297	437.186	433.899	12.416
tree983	-11354.9	0.01	0	0	0.286	447.889	444.985	12.81
tree984	-11355	0.01	0	0	0.29	436.266	433.057	12.501
tree985	-11354.9	0.01	0	0	0.308	427.521	423.828	11.999
tree986	-11354.9	0.01	0	0	0.293	423.875	420.218	12.05
tree987	-11354.9	0.01	0	0	0.29	434.726	431.214	12.198
tree988	-11354.9	0.01	0	0	0.275	455.147	452.397	12.975
tree989	-11354.9	0.01	0	0	0.257	427.983	424.266	12.026
tree990	-11354.9	0.01	0	0	0.302	431.519	428.055	12.234
tree991	-11354.9	0.01	0	0	0.269	448.686	445.881	12.926
tree992	-11355	0.01	0	0	0.269	429.747	426.241	12.225
tree993	-11354.9	0.01	0	0	0.305	429.92	426.248	12.023
tree994	-11354.9	0.01	0	0	0.261	439.381	436.053	12.411
tree995	-11355	0.01	0	0	0.302	422.565	418.443	11.576
tree996	-11354.9	0.01	0	0	0.278	427.54	423.862	12.044
tree997	-11354.9	0.01	0	0	0.241	453.15	450.134	12.743
tree998	-11355	0.01	0	0	0.303	427.351	423.718	12.064
tree999	-11354.9	0.01	0	0	0.248	449.072	446.178	12.858
