SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree336	-11354.9	0	0	0	0.295	426.44	422.776	12.041
tree337	-11354.9	0	0	0	0.262	427.939	424.257	12.056
tree338	-11354.9	0	0	0	0.317	430.215	426.695	12.163
tree339	-11354.9	0	0	0	0.281	433.725	430.298	12.292
tree340	-11354.9	0	0	0	0.288	416.47	412.49	11.732
tree341	-11354.9	0	0	0	0.285	432.826	429.289	12.178
tree342	-11354.9	0	0	0	0.277	426.705	422.865	11.883
tree343	-11354.9	0	0	0	0.273	428.715	424.993	12.005
tree344	-11354.9	0	0	0	0.258	433.836	430.071	11.977
tree345	-11354.9	0	0	0	0.288	443.987	440.98	12.705
tree346	-11354.9	0	0	0	0.287	434.785	431.438	12.366
tree347	-11354.9	0	0	0	0.291	435.102	431.81	12.417
tree348	-11354.9	0	0	0	0.276	432.266	428.767	12.225
tree349	-11354.9	0	0	0	0.31	436.062	432.711	12.339
tree350	-11354.9	0	0	0	0.302	435.855	432.451	12.294
tree351	-11354.9	0	0	0	0.301	433.232	429.641	12.108
tree352	-11354.9	0	0	0	0.286	427.893	424.183	12.004
tree353	-11354.9	0	0	0	0.279	438.881	435.384	12.224
tree354	-11354.9	0	0	0	0.311	427.452	423.625	11.862
tree355	-11354.9	0	0	0	0.277	446.328	443.358	12.753
tree356	-11354.9	0	0	0	0.284	436.136	432.708	12.288
tree357	-11354.9	0	0	0	0.25	438.918	435.532	12.364
tree358	-11354.9	0	0	0	0.295	445.496	442.496	12.705
tree359	-11354.9	0	0	0	0.301	425.768	421.943	11.874
tree360	-11354.9	0	0	0	0.276	432.432	428.879	12.171
tree361	-11354.9	0	0	0	0.316	431.687	427.993	11.99
tree362	-11354.9	0	0	0	0.269	451.136	448.264	12.859
tree363	-11354.9	0	0	0	0.278	427.752	424.046	12.016
tree364	-11354.9	0	0	0	0.272	440.415	437.421	12.734
tree365	-11354.9	0	0	0	0.301	437.115	433.596	12.18
tree366	-11354.9	0	0	0	0.306	428.17	424.582	12.106
tree367	-11354.9	0	0	0	0.264	439.633	436.144	12.247
tree368	-11354.9	0	0	0	0.292	434.595	431.317	12.43
tree369	-11354.9	0	0	0	0.289	438.363	435.182	12.53
tree370	-11354.9	0	0	0	0.291	424.808	420.872	11.773
tree371	-11354.9	0	0	0	0.294	425.296	421.674	12.084
tree372	-11354.9	0	0	0	0.316	430.106	426.47	12.048
tree373	-11354.9	0	0	0	0.265	434.199	430.719	12.255
tree374	-11354.9	0	0	0	0.302	446.465	443.309	12.542
tree375	-11354.9	0	0	0	0.281	429.337	425.596	11.978
tree376	-11354.9	0	0	0	0.292	432.198	428.913	12.423
tree377	-11354.9	0	0	0	0.312	422.007	418.14	11.821
tree378	-11354.9	0	0	0	0.302	420.558	416.568	11.708
tree379	-11354.9	0	0	0	0.273	425.494	421.783	12.016
tree380	-11354.9	0	0	0	0.294	425.336	421.605	11.975
tree381	-11354.9	0	0	0	0.292	436.763	433.484	12.429
tree382	-11354.9	0	0	0	0.3	445.671	442.737	12.766
tree383	-11354.9	0	0	0	0.261	445.273	442.085	12.551
tree384	-11354.9	0	0	0	0.297	432.92	429.43	12.213
tree385	-11354.9	0	0	0	0.313	423.632	419.566	11.621
tree386	-11354.9	0	0	0	0.274	444.842	441.68	12.564
tree387	-11354.9	0	0	0	0.274	441.97	438.791	12.547
tree388	-11354.9	0	0	0	0.289	429.195	425.825	12.341
tree389	-11354.9	0	0	0	0.271	448.265	445.477	12.941
